Branch	Semester	Batch	USN	Student Name	Gender	Admission Quota	Admission Type	Actual Category	Seat Category Claimed	Seat Category Alloted	Domicile of State	Domicile Place	CET/COMEDK/DCET Rank
CSE	V	2003	1JB03CS075	Student 76	Female	CET	REGULAR	3A	3AG	GM	KARNATAKA	BENGALURU URBAN	14205
CSE	V	2003	1JB03CS076	Student 77	Male	COMED-K	REGULAR	GM	GM	GM	KARNATAKA		23508
CSE	V	2003	1JB03CS077	Student 78	Male	COMED-K	REGULAR	3A	GM	GM	KARNATAKA	BENGALURU URBAN	21379
CSE	V	2003	1JB03CS078	Student 79	Female	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA		
CSE	V	2003	1JB03CS079	Student 80	Female	CET	REGULAR	2A	2AG	2AG	KARNATAKA	BAGALKOT	20986
CSE	V	2003	1JB03CS080	Student 81	Female	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA	BENGALURU URBAN	
CSE	V	2003	1JB03CS081	Student 82	Male	CET	REGULAR	3A	3AG	GM	KARNATAKA	CHIKKABALLAPUR	15807
CSE	V	2003	1JB03CS082	Student 83	Male	CET	REGULAR	3A	3AG	GM	KARNATAKA		16405
CSE	V	2003	1JB03CS083	Student 84	Female	CET-SNQ	REGULAR	3A	3A	3A	KARNATAKA	BENGALURU URBAN	12827
CSE	V	2003	1JB03CS084	Student 85	Male	MANAGEMENT	REGULAR	3B	3B	3B	KARNATAKA	BENGALURU URBAN	
CSE	V	2003	1JB03CS085	Student 86	Male	COMED-K	REGULAR	3A	GM	GM	KARNATAKA	KOLAR	18203
CSE	V	2003	1JB03CS086	Student 87	Male	COMED-K	REGULAR	GM	GM	GM	NON-KARNATAKA	JAMMU & KASMIR	21488
CSE	V	2003	1JB03CS087	Student 88	Male	CET	REGULAR	3AGR	3AGR	GMR	KARNATAKA		18661
CSE	V	2003	1JB03CS088	Student 89	Male	MANAGEMENT	REGULAR	3A	3A	0	KARNATAKA		52646
CSE	V	2003	1JB03CS089	Student 90	Male	CET-SNQ	REGULAR	3B	3B	3B	KARNATAKA	HASSAN	12522
CSE	V	2003	1JB03CS090	Student 91	Female	CET-SNQ	REGULAR	3A	3AG	SNQ	KARNATAKA	CHIKKABALLAPUR	14042
CSE	V	2003	1JB03CS091	Student 92	Female	CET	REGULAR	SCG	SCG	SCG	KARNATAKA	RAMANAGARA	51674
CSE	V	2003	1JB03CS092	Student 93	Male	CET	REGULAR	ST	STG	STG	KARNATAKA	CHIKKABALLAPUR	61840
CSE	V	2003	1JB03CS093	Student 94	Female	CET	REGULAR	3A	3AG	3AG	KARNATAKA	BENGALURU URBAN	17463
CSE	V	2003	1JB03CS094	Student 95	Male	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA		133256
CSE	V	2003	1JB03CS095	Student 96	Male	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA	BENGALURU URBAN	
CSE	V	2003	1JB03CS096	Student 97	Female	COMED-K	REGULAR	3A	3A	3A	KARNATAKA	BENGALURU URBAN	22217
CSE	V	2003	1JB03CS097	Student 98	Female	MANAGEMENT	REGULAR	3B	3B	3B	KARNATAKA		
CSE	V	2003	1JB03CS098	Student 99	Female	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA	CHIKKAMANGALURU	
CSE	V	2003	1JB03CS099	Student 100	Male	CET	REGULAR	3B	3B	3BR	KARNATAKA	TUMAKURU	19403
CSE	V	2003	1JB03CS100	Student 101	Male	MANAGEMENT	REGULAR	GM	GM	GM	KARNATAKA		83364
CSE	V	2003	1JB03CS101	Student 102	Male	CET	REGULAR	2A	2AK	2AK	KARNATAKA		25086
CSE	V	2003	1JB03CS102	Student 103	Female	CET	REGULAR	2AG	2AG	2AG	KARNATAKA	BENGALURU URBAN	16197
CSE	V	2003	1JB03CS103	Student 104	Female	COMED-K	REGULAR	GM	GM	GM	KARNATAKA		16449
CSE	V	2003	1JB03CS104	Student 105	Female	CET-SNQ	REGULAR	3A	3AG	3AG	KARNATAKA	BENGALURU URBAN	12817
CSE	V	2003	1JB03CS105	Student 106	Male	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA	BENGALURU URBAN	
CSE	V	2003	1JB03CS106	Student 107	Male	CET	REGULAR	SC	SC	SC	KARNATAKA	BENGALURU URBAN	44064
CSE	V	2003	1JB03CS107	Student 108	Male	CET	REGULAR	ST	STGH	STG	KARNATAKA	BELLARY	45662
CSE	V	2003	1JB03CS108	Student 109	Male	CET	REGULAR	GM	GM	GM	KARNATAKA	BENGALURU URBAN	16059
CSE	V	2003	1JB03CS109	Student 110	Male	CET	REGULAR	SC	SCGH	SCH	KARNATAKA	BIDAR	56091
CSE	V	2003	1JB03CS110	Student 111	Female	CET	REGULAR	2A	2AG	2AG	KARNATAKA	CHIKKABALLAPUR	20999
CSE	V	2003	1JB03CS111	Student 112	Male	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA		
CSE	V	2003	1JB03CS112	Student 113	Female	CET	REGULAR	3AG	3AG	GM	KARNATAKA		14826
CSE	V	2003	1JB03CS113	Student 114	Male	MANAGEMENT	REGULAR	3B	3B	3B	KARNATAKA	CHITRADURGA	
CSE	V	2003	1JB03CS114	Student 115	Male	CET	REGULAR	SC	SCG	SCG	KARNATAKA	GULBARGA	54416
CSE	V	2003	1JB03CS115	Student 116	Male	MANAGEMENT	REGULAR	3B	3B	3B	KARNATAKA		
CSE	V	2003	1JB03CS116	Student 117	Male	CET	REGULAR	2AG	2AG	2AG	KARNATAKA		15962
CSE	V	2003	1JB03CS117	Student 118	Female	CET	REGULAR	3B	3B	3BG	KARNATAKA	MANDYA	13255
CSE	V	2003	1JB03CS118	Student 119	Male	COMED-K	REGULAR	GM	GM	GM	KARNATAKA		21258
CSE	V	2003	1JB03CS119	Student 120	Female	MANAGEMENT	REGULAR	GM	GM	GM	KARNATAKA		
CSE	V	2003	1JB03CS120	Student 121	Male	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA	TUMAKURU	
CSE	V	2003	1JB03CS121	Student 122	Male	COMED-K	REGULAR	GM	GM	GM	KARNATAKA		23263
CSE	V	2003	1JB03CS122	Student 123	Female	CET	REGULAR	3A	3AGR	GMR	KARNATAKA	HASSAN	19601G55
CSE	V	2003	1JB03CS123	Student 124	Male	CET	REGULAR	3B	3BG	GM	KARNATAKA	BENGALURU URBAN	14490
CSE	V	2003	1JB03CS124	Student 125	Female	CET	REGULAR	2B	2BG	2BG	KARNATAKA	UTTARA KANNADA	23748
CSE	V	2003	1JB03CS125	Student 126	Female	CET	REGULAR	2A	2A	GM	KARNATAKA	BENGALURU URBAN	14123
CSE	V	2003	1JB03CS126	Student 127	Female	COMED-K	REGULAR	GM	GM	GM	KARNATAKA	BENGALURU URBAN	13915
CSE	V	2003	1JB03CS127	Student 128	Female	COMED-K	REGULAR	GM	GM	GM	KARNATAKA	BENGALURU URBAN	24189
CSE	V	2003	1JB03CS128	Student 129	Male	COMED-K	REGULAR	GM	GM	GM	NON-KARNATAKA	BIHAR	21775
CSE	V	2003	1JB03CS129	Student 130	Female	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA	KOLAR	107501
CSE	V	2003	1JB03CS130	Student 131	Female	CET	REGULAR	2AG	2AG	2AG	KARNATAKA		18977
CSE	V	2003	1JB03CS131	Student 132	Male	CET-SNQ	REGULAR	3B	3BGR	3AGR	KARNATAKA	SHIVAMOGGA	10813
CSE	V	2003	1JB03CS132	Student 133	Female	COMED-K	REGULAR	2A	GM	GM	NON-KARNATAKA	BIHAR	24381
CSE	V	2003	1JB03CS133	Student 134	Male	CET	REGULAR	2A	2AGH	2AGH	KARNATAKA	RAICHUR	22451
CSE	V	2003	1JB03CS134	Student 135	Male	CET-SNQ	REGULAR	3B	3BGH	SNQ	KARNATAKA	RAICHUR	12704
CSE	V	2003	1JB03CS135	Student 136	Male	CET	REGULAR	3A	3AG	3AG	KARNATAKA	BENGALURU URBAN	27941
CSE	V	2003	1JB03CS136	Student 137	Male	CET	REGULAR	3A	3AG	GM	KARNATAKA	BENGALURU URBAN	14195
CSE	V	2003	1JB03CS137	Student 138	Male	CET	REGULAR	2AG	2AG	2AG	KARNATAKA	BENGALURU URBAN	18234
CSE	V	2003	1JB03CS138	Student 139	Male	CET	REGULAR	3A	3AG	3AG	KARNATAKA		17540
CSE	V	2003	1JB03CS139	Student 140	Male	COMED-K	REGULAR	GM	GM	GM	NON-KARNATAKA	BIHAR	22209
CSE	V	2003	1JB03CS140	Student 141	Female	CET	REGULAR	2A	2AGRK	GMK	KARNATAKA	BAGALKOT	23632
CSE	V	2003	1JB03CS141	Student 142	Male	MANAGEMENT	REGULAR	GM	GM	GM	KARNATAKA		
CSE	V	2003	1JB03CS142	Student 143	Female	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA	BENGALURU URBAN	157966
CSE	V	2003	1JB03CS143	Student 144	Female	MANAGEMENT	REGULAR	3B	3B	3B	KARNATAKA		
CSE	V	2003	1JB03CS144	Student 145	Male	COMED-K	REGULAR	GM	GM	GM	KARNATAKA		23433
CSE	V	2003	1JB03CS145	Student 146	Male	MANAGEMENT	REGULAR	GM	GM	GM	NON-KARNATAKA	ODISHA	
CSE	V	2003	1JB03CS146	Student 147	Male	CET	REGULAR	2A	2AG	2AG	KARNATAKA	MANDYA	19918
CSE	V	2003	1JB03CS147	Student 148	Male	COMED-K	REGULAR	3B	3B	3B	KARNATAKA		20758
CSE	V	2003	1JB03CS148	Student 149	Male	COMED-K	REGULAR	GM	GM	GM	NON-KARNATAKA	BIHAR	23197
CSE	V	2003	1JB03CS149	Student 150	Female	COMED-K	REGULAR	3A	GM	GM	KARNATAKA	BENGALURU URBAN	17229
CSE	V	2003	1JB03CS150	Student 151	Male	COMED-K	REGULAR	3B	3B	3B	KARNATAKA		22810
CSE	V	2003	1JB03CS151	Student 152	Female	CET	REGULAR	3A	GM	GM	KARNATAKA	MANDYA	13921
CSE	V	2003	1JB03CS152	Student 153	Female	CET	REGULAR	3A	GMR	GMR	KARNATAKA	HASSAN	17370
CSE	V	2003	1JB03CS153	Student 154	Male	MANAGEMENT	REGULAR	GM	GM	GM	KARNATAKA		110530
CSE	V	2003	1JB03CS154	Student 155	Male	CET	REGULAR	2A	2AGH	GMH	KARNATAKA	GULBARGA	16991
CSE	V	2003	1JB03CS155	Student 156	Male	COMED-K	REGULAR	3B	3B	3B	KARNATAKA		24851
CSE	V	2003	1JB03CS156	Student 157	Male	CET	REGULAR	3A	3AG	GM	KARNATAKA	SHIVAMOGGA	15815
CSE	V	2003	1JB03CS157	Student 158	Male	COMED-K	REGULAR	GM	GM	HK	KARNATAKA	RAICHUR	42020
CSE	V	2003	1JB03CS158	Student 159	Male	CET	REGULAR	GM	GM	GM	KARNATAKA	BENGALURU URBAN	14937
CSE	V	2003	1JB03CS159	Student 160	Male	COMED-K	REGULAR	GM	GM	GM	NON-KARNATAKA		21905
CSE	V	2003	1JB03CS160	Student 161	Male	COMED-K	REGULAR	GM	GM	GM	NON-KARNATAKA	BIHAR	23591
CSE	V	2003	1JB03CS161	Student 162	Male	COMED-K	REGULAR	HK	HK	HK	KARNATAKA	BENGALURU URBAN	43018
CSE	V	2003	1JB03CS162	Student 163	Male	COMED-K	REGULAR	GM	GM	GM	KARNATAKA	BENGALURU URBAN	24383
CSE	V	2003	1JB03CS163	Student 164	Male	CET	REGULAR	3BR	3BR	3BR	KARNATAKA		20293
CSE	V	2003	1JB03CS164	Student 165	Male	CET	REGULAR	1G	1G	1G	KARNATAKA	BENGALURU URBAN	18674
CSE	V	2003	1JB03CS165	Student 166	Female	MANAGEMENT	REGULAR	3B	3B	3B	KARNATAKA		
CSE	V	2003	1JB03CS166	Student 167	Male	MANAGEMENT	REGULAR	SC	SC	SC	KARNATAKA		
CSE	V	2003	1JB03CS167	Student 168	Female	CET-SNQ	REGULAR	GM	GM	GM	KARNATAKA	BENGALURU URBAN	12982
CSE	V	2003	1JB03CS168	Student 169	Male	MANAGEMENT	REGULAR	2A	2A	2A	KARNATAKA		
CSE	V	2003	1JB03CS169	Student 170	Male	CET	REGULAR	2A	2AG	2AG	KARNATAKA	KOLAR	19242
CSE	V	2003	1JB03CS170	Student 171	Male	COMED-K	REGULAR	GM	GM	GM	KARNATAKA		26-08-2023
CSE	V	2003	1JB03CS171	Student 172	Female	CET	REGULAR	1GH	1GH	1G	KARNATAKA	GULBARGA	18960
CSE	V	2003	1JB03CS172	Student 173	Female	CET	REGULAR	3AG	3AG	GM	KARNATAKA	BENGALURU URBAN	15784
CSE	V	2003	1JB03CS173	Student 174	Male	CET	REGULAR	3A	GM	GM	KARNATAKA	BENGALURU URBAN	16637
CSE	V	2003	1JB03CS174	Student 175	Male	CET	REGULAR	3BG	3BG	GM	KARNATAKA	DAVANAGERE	14526
CSE	V	2003	1JB03CS175	Student 176	Male	COMED-K	REGULAR	3B	3B	GM	KARNATAKA		19674
CSE	V	2003	1JB03CS176	Student 177	Male	CET	REGULAR	2AG	2AG	2AG	KARNATAKA	CHAMARAJANAGAR	18292
CSE	V	2003	1JB03CS177	Student 178	Male	MANAGEMENT	REGULAR	2A	2A	2A	KARNATAKA		202940
CSE	V	2003	1JB03CS178	Student 179	Male	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA	RAMANAGARA	
CSE	V	2003	1JB03CS179	Student 180	Female	MANAGEMENT	REGULAR	3A	3A	3A	KARNATAKA	SHIVAMOGGA	41791
CSE	V	2003	1JB03CS180	Student 181	Male	CET	REGULAR	3B	3BG	3BG	KARNATAKA	GADAG	17690
CSE	V	2003	1JB03CS181	Student 182	Female	MANAGEMENT	REGULAR	2A	2A	2A	KARNATAKA	MANDYA	
CSE	V	2003	1JB03CS182	Student 183	Male	COMED-K	REGULAR	GM	GM	GM	KARNATAKA		22195
CSE	V	2003	1JB03CS183	Student 184	Male	CET	REGULAR	3AGR	GM	GM	KARNATAKA	MANDYA	14742
CSE	V	2003	1JB03CS184	Student 185	Male	COMED-K	REGULAR	GM	GM	GM	NON-KARNATAKA	ANDRA PRADESH	24117
CSE	V	2003	1JB03CS185	Student 186	Male	CET	REGULAR	3BG	3BG	3BG	KARNATAKA	BELGAUM	32290
CSE	V	2003	1JB03CS186	Student 187	Female	COMED-K	REGULAR	3B	3B	3B	KARNATAKA		37081
CSE	V	2003	1JB03CS187	Student 188	Male	CET	REGULAR	3B	GM	GM	KARNATAKA	BENGALURU URBAN	29412
CSE	V	2003	1JB03CS188	Student 189	Male	COMED-K	REGULAR	3A	GM	GM	KARNATAKA	BENGALURU URBAN	41766
CSE	V	2003	1JB03CS189	Student 190	Male	DIPLOMA  CET	REGULAR	2A	GM	GM	KARNATAKA	MANDYA	2131
CSE	V	2003	1JB03CS190	Student 191	Male	DIPLOMA  CET	REGULAR	2B	2B	2BG	KARNATAKA	BENGALURU URBAN	4030
CSE	V	2003	1JB03CS191	Student 192	Female	DIPLOMA  CET	REGULAR	3A	GM	GM	KARNATAKA	BENGALURU URBAN	3240
CSE	V	2003	1JB03CS192	Student 193	Male	DIPLOMA  CET	REGULAR	2A	2AGRK	2AGRK	KARNATAKA	SHIVAMOGGA	7190
CSE	V	2003	1JB03CS193	Student 194	Female	DIPLOMA  CET	REGULAR	2A	2AGR	2AGR	KARNATAKA	CHIKKABALLAPUR	1305
CSE	V	2003	1JB03CS194	Student 195	Male	DIPLOMA  CET	REGULAR	3AG	GM	GM	KARNATAKA	BENGALURU URBAN	2768
CSE	V	2003	1JB03CS195	Student 196	Male	DIPLOMA  CET	REGULAR	2A	2A	2AG	KARNATAKA	0	3533
CSE	V	2003	1JB03CS196	Student 197	Male	DIPLOMA  CET	REGULAR	3B	3BG	GM	KARNATAKA	0	3234
CSE	V	2003	1JB03CS197	Student 198	Male	DIPLOMA  CET	REGULAR	3A	3AG	3AG	KARNATAKA		2895
CSE	V	2003	1JB03CS198	Student 199	Male	DIPLOMA  CET	REGULAR	SC	SCG	SCG	KARNATAKA	RAMANAGARA	13884
CSE	V	2003	1JB03CS199	Student 200	Female	DIPLOMA  CET	REGULAR	3A	GM	GM	KARNATAKA	TUMAKURU	3298
CSE	V	2003	1JB03CS200	Student 201	Male	DIPLOMA  CET	REGULAR	3B	3B	3B	KARNATAKA	0	3215
CSE	V	2003	1JB03CS201	Student 202	Male	DIPLOMA  CET	REGULAR	SC	SC	SCG	KARNATAKA	SHIVAMOGGA	8319
CSE	V	2003	1JB03CS202	Student 203	Female	DIPLOMA  CET	REGULAR	3B	3BG	3BG	KARNATAKA	SHIVAMOGGA	3660
CSE	V	2003	1JB03CS203	Student 204	Male	DIPLOMA  CET	REGULAR	2AGR	GMR	GMR	KARNATAKA	RAMANAGARA	3386
CSE	V	2003	1JB03CS195	Student 196	Male	DIPLOMA  CET	REGULAR	2A	2A	2AG	KARNATAKA	0	3533
CSE	V	2003	1JB03CS196	Student 197	Male	DIPLOMA  CET	REGULAR	3B	3BG	GM	KARNATAKA	0	3234
CSE	V	2003	1JB03CS197	Student 198	Male	DIPLOMA  CET	REGULAR	3A	3AG	3AG	KARNATAKA		2895
CSE	V	2003	1JB03CS198	Student 199	Male	DIPLOMA  CET	REGULAR	SC	SCG	SCG	KARNATAKA	RAMANAGARA	13884
CSE	V	2003	1JB03CS199	Student 200	Female	DIPLOMA  CET	REGULAR	3A	GM	GM	KARNATAKA	TUMAKURU	3298
CSE	V	2003	1JB03CS200	Student 201	Male	DIPLOMA  CET	REGULAR	3B	3B	3B	KARNATAKA	0	3215
CSE	V	2003	1JB03CS201	Student 202	Male	DIPLOMA  CET	REGULAR	SC	SC	SCG	KARNATAKA	SHIVAMOGGA	8319
CSE	V	2003	1JB03CS202	Student 203	Female	DIPLOMA  CET	REGULAR	3B	3BG	3BG	KARNATAKA	SHIVAMOGGA	3660
